,feature,group
196,ele_CL.P_4,nn350
197,ele_CL.S_4,nn350
198,ele_CL.SA_4,nn350
199,ele_CU.HD_4,nn350
200,ele_CU.N_4,nn350
201,ele_FE.NA_4,nn350
202,ele_FE.SA_4,nn350
203,ele_I.N_4,nn350
204,ele_I.OA_4,nn350
205,ele_MG.N_4,nn350
206,ele_MG.P_4,nn350
207,ele_MG.S_4,nn350
208,ele_MG.SA_4,nn350
209,ele_MN.NA_4,nn350
210,ele_MN.P_4,nn350
211,ele_MN.S_4,nn350
212,ele_MN.SA_4,nn350
213,ele_N.P_4,nn350
214,ele_N.S_4,nn350
215,ele_NA.P_4,nn350
216,ele_NA.S_4,nn350
217,ele_OA.P_4,nn350
218,ele_OA.S_4,nn350
219,ele_P.S_4,nn350
220,ele_P.SA_4,nn350
221,ele_P.ZN_4,nn350
222,ele_S.SA_4,nn350
223,ele_SA.SA_4,nn350
224,lig_A,nn350
225,lig_BR,nn350
226,lig_C,nn350
227,lig_CL,nn350
228,lig_F,nn350
229,lig_HD,nn350
230,lig_I,nn350
231,lig_N,nn350
232,lig_NA,nn350
233,lig_OA,nn350
234,lig_P,nn350
235,lig_S,nn350
236,lig_SA,nn350
237,cc_A.A_2.5,nn350
238,cc_A.C_2.5,nn350
239,cc_A.CL_2.5,nn350
240,cc_A.F_2.5,nn350
241,cc_A.FE_2.5,nn350
242,cc_A.HD_2.5,nn350
243,cc_A.MG_2.5,nn350
244,cc_A.MN_2.5,nn350
245,cc_A.N_2.5,nn350
246,cc_A.NA_2.5,nn350
247,cc_A.OA_2.5,nn350
248,cc_A.SA_2.5,nn350
249,cc_A.ZN_2.5,nn350
250,cc_BR.C_2.5,nn350
251,cc_BR.HD_2.5,nn350
252,cc_BR.OA_2.5,nn350
253,cc_C.C_2.5,nn350
254,cc_C.CL_2.5,nn350
255,cc_C.F_2.5,nn350
256,cc_C.HD_2.5,nn350
257,cc_C.MG_2.5,nn350
258,cc_C.MN_2.5,nn350
259,cc_C.N_2.5,nn350
260,cc_C.NA_2.5,nn350
261,cc_C.OA_2.5,nn350
262,cc_C.SA_2.5,nn350
263,cc_C.ZN_2.5,nn350
264,cc_CD.OA_2.5,nn350
265,cc_CL.FE_2.5,nn350
266,cc_CL.HD_2.5,nn350
